wine_type,citric acid,fixed acidity,volatile acidity,residual sugar,chlorides,sulphates,free sulfur dioxide,total sulfur dioxide,density,pH,alcohol,quality,quality_label
white wine,0.17,7.6,0.28,1.6,0.046,0.43,28.0,117.0,0.9928799999999999,3.08,10.0,5,low quality
red wine,0.0,6.6,0.96,1.8,0.08199999999999999,0.44,5.0,16.0,0.9936,3.5,11.9,6,medium quality
white wine,0.46,8.1,0.28,15.4,0.059000000000000004,0.58,32.0,177.0,1.0004,3.27,9.0,4,low quality
red wine,0.0,6.2,0.58,1.6,0.065,0.84,8.0,18.0,0.9966,3.56,9.4,5,low quality
white wine,0.4,6.8,0.19,9.85,0.055,0.56,41.0,103.0,0.9953200000000001,2.98,10.5,6,medium quality
white wine,0.43,6.9,0.4,6.2,0.065,0.53,42.0,178.0,0.9955200000000001,3.11,9.4,5,low quality
red wine,0.55,12.0,0.45,2.0,0.073,0.76,25.0,49.0,0.9997,3.1,10.3,6,medium quality
red wine,0.26,7.8,0.87,3.8,0.107,0.46,31.0,67.0,0.9966799999999999,3.26,9.2,5,low quality
white wine,0.49,8.0,0.18,1.8,0.061,0.48,10.0,145.0,0.9942,3.23,10.0,5,low quality
white wine,0.3,7.1,0.09,6.2,0.032,0.39,24.0,134.0,0.993,2.99,10.9,6,medium quality
white wine,0.52,6.2,0.21,6.5,0.047,0.49,28.0,123.0,0.99418,3.22,9.9,6,medium quality
white wine,0.5,6.4,0.32,10.7,0.047,0.6,57.0,206.0,0.9968,3.08,9.4,5,low quality
white wine,0.08,6.8,0.64,9.7,0.062,0.46,26.0,142.0,0.9972,3.37,8.9,4,low quality
white wine,0.41,6.2,0.33,16.8,0.037000000000000005,0.57,58.0,173.0,0.99882,3.25,9.4,6,medium quality
white wine,0.31,7.2,0.19,1.6,0.062,0.44,31.0,173.0,0.9917,3.35,11.7,6,medium quality
red wine,0.18,5.1,0.51,2.1,0.042,0.87,16.0,101.0,0.9924,3.46,12.9,7,medium quality
white wine,0.28,5.1,0.29,8.3,0.026000000000000002,0.37,27.0,107.0,0.99308,3.36,11.0,6,medium quality
red wine,0.38,7.4,0.29,1.7,0.062,0.53,9.0,30.0,0.9968,3.41,9.5,6,medium quality
red wine,0.02,7.1,0.59,2.3,0.08199999999999999,0.53,24.0,94.0,0.99744,3.55,9.7,6,medium quality
red wine,0.49,10.2,0.29,2.6,0.059000000000000004,0.74,5.0,13.0,0.9976,3.05,10.5,7,medium quality
white wine,0.4,8.5,0.23,9.9,0.036000000000000004,0.42,24.0,88.0,0.9951,3.02,10.5,6,medium quality
white wine,0.3,6.2,0.22,12.4,0.054000000000000006,0.47,108.0,152.0,0.9972799999999999,3.1,9.5,6,medium quality
white wine,0.43,7.1,0.17,1.3,0.023,0.56,33.0,132.0,0.99067,3.11,11.7,6,medium quality
white wine,0.34,6.8,0.24,2.7,0.047,0.58,64.5,218.5,0.9934,3.3,9.7,6,medium quality
white wine,0.39,6.7,0.26,6.4,0.171,0.38,64.0,200.0,0.9956200000000001,3.19,9.4,6,medium quality
white wine,0.0,5.0,0.31,6.4,0.046,0.63,43.0,166.0,0.9940000000000001,3.3,9.9,6,medium quality
red wine,0.26,9.3,0.655,2.0,0.096,0.42,5.0,35.0,0.9973799999999999,3.25,9.6,5,low quality
white wine,0.42,6.6,0.28,8.2,0.044000000000000004,0.48,60.0,196.0,0.9956200000000001,3.14,9.4,5,low quality
white wine,0.39,7.1,0.18,15.25,0.047,0.77,45.0,158.0,0.99946,3.34,9.1,6,medium quality
white wine,0.32,6.8,0.23,8.6,0.046,0.52,47.0,159.0,0.9945200000000001,3.08,10.5,6,medium quality
white wine,0.74,8.5,0.17,3.6,0.05,0.4,29.0,128.0,0.9928,3.28,12.4,6,medium quality
white wine,0.26,5.7,0.25,12.5,0.049,0.45,52.5,106.0,0.9969100000000001,3.08,9.4,6,medium quality
white wine,0.5,6.1,0.22,6.6,0.045,0.49,30.0,122.0,0.99415,3.22,9.9,6,medium quality
white wine,0.36,6.6,0.22,5.5,0.028999999999999998,0.47,30.0,105.0,0.99206,3.2,11.8,6,medium quality
white wine,0.31,8.4,0.17,6.7,0.038,0.32,29.0,132.0,0.9945,3.1,10.6,7,medium quality
white wine,1.23,7.6,0.25,4.6,0.035,0.43,51.0,294.0,0.99018,3.03,13.1,6,medium quality
white wine,0.36,7.5,0.27,7.0,0.036000000000000004,0.33,45.0,164.0,0.9939,3.03,11.0,5,low quality
red wine,0.05,7.1,0.875,5.7,0.08199999999999999,0.52,3.0,14.0,0.99808,3.4,10.2,3,low quality
red wine,0.24,6.7,0.46,1.7,0.077,0.6,18.0,34.0,0.9948,3.39,10.6,6,medium quality
white wine,0.3,7.4,0.19,12.8,0.053,0.49,48.5,212.0,0.9986,3.14,9.1,7,medium quality
white wine,0.54,5.0,0.29,5.7,0.035,0.34,54.0,155.0,0.9897600000000001,3.27,12.9,8,high quality
white wine,0.33,7.2,0.32,1.4,0.028999999999999998,0.51,29.0,109.0,0.9902,3.15,12.8,7,medium quality
white wine,0.54,6.2,0.25,7.0,0.046,0.7,58.0,176.0,0.99454,3.19,10.4,5,low quality
red wine,0.02,7.3,0.67,2.2,0.07200000000000001,0.68,31.0,92.0,0.99566,3.32,11.066666666666698,6,medium quality
white wine,0.29,7.0,0.15,16.4,0.057999999999999996,0.37,45.0,110.0,0.9978,3.15,9.7,6,medium quality
white wine,0.27,6.2,0.36,3.2,0.032,0.69,13.0,73.0,0.9894200000000001,2.9,12.6,7,medium quality
white wine,0.3,7.1,0.39,9.9,0.037000000000000005,0.42,29.0,124.0,0.9941399999999999,3.07,10.9,6,medium quality
white wine,0.48,6.3,0.48,1.8,0.035,0.74,35.0,96.0,0.99121,3.49,12.2,6,medium quality
white wine,0.27,6.0,0.29,2.3,0.044000000000000004,0.41,20.0,117.0,0.9895,3.31,12.7,7,medium quality
white wine,0.37,7.4,0.26,9.4,0.047,0.72,42.0,147.0,0.9982,3.46,10.0,5,low quality
white wine,0.29,6.1,0.16,6.0,0.03,0.46,29.0,144.0,0.99474,3.68,10.7,6,medium quality
red wine,0.09,6.2,0.64,2.5,0.081,0.63,15.0,26.0,0.9953799999999999,3.57,12.0,5,low quality
white wine,0.42,6.1,0.38,5.0,0.016,0.31,31.0,113.0,0.9900700000000001,3.15,12.4,7,medium quality
white wine,0.28,7.1,0.23,1.9,0.046,0.31,33.0,103.0,0.9899700000000001,3.12,12.0,5,low quality
white wine,0.2,5.7,0.22,16.0,0.044000000000000004,0.46,41.0,113.0,0.9986200000000001,3.22,8.9,6,medium quality
white wine,0.34,6.3,0.31,2.2,0.045,0.43,20.0,77.0,0.9927,3.3,10.2,5,low quality
white wine,0.36,7.4,0.28,1.1,0.027999999999999997,0.39,42.0,105.0,0.9893,2.99,12.4,7,medium quality
white wine,0.49,9.7,0.24,4.9,0.032,0.54,3.0,18.0,0.9936799999999999,2.85,10.0,6,medium quality
white wine,0.3,8.5,0.18,1.1,0.027999999999999997,0.36,34.0,95.0,0.99272,2.83,10.0,4,low quality
white wine,0.42,7.1,0.18,1.4,0.045,0.31,47.0,157.0,0.9916,2.95,10.5,6,medium quality
red wine,0.0,7.8,0.55,1.7,0.07,0.64,7.0,17.0,0.99659,3.26,9.4,6,medium quality
red wine,0.35,8.8,0.24,1.7,0.055,0.59,13.0,27.0,0.9939399999999999,3.14,11.3,7,medium quality
white wine,0.28,6.1,0.26,1.7,0.043,0.44,24.0,98.0,0.98918,3.14,12.5,6,medium quality
red wine,0.15,7.6,0.51,2.8,0.11,0.63,33.0,73.0,0.9955,3.17,10.2,6,medium quality
red wine,0.34,9.7,0.66,2.6,0.094,0.66,12.0,88.0,0.9979600000000001,3.26,10.1,5,low quality
red wine,0.48,10.4,0.26,1.9,0.066,0.87,6.0,10.0,0.99724,3.33,10.9,6,medium quality
red wine,0.24,9.9,0.63,2.4,0.077,0.57,6.0,33.0,0.9974,3.09,9.4,5,low quality
white wine,0.14,5.0,0.55,8.3,0.032,0.51,35.0,164.0,0.9918,3.53,12.5,8,high quality
white wine,0.51,7.0,0.3,13.6,0.05,0.52,40.0,168.0,0.9976,3.07,9.6,7,medium quality
white wine,0.26,5.2,0.38,7.7,0.053,0.45,20.0,103.0,0.9925,3.27,12.2,6,medium quality
white wine,0.49,7.7,0.25,2.5,0.047,0.57,31.0,169.0,0.9925200000000001,3.07,10.6,6,medium quality
white wine,0.43,6.1,0.27,7.5,0.049,0.47,65.0,243.0,0.9957,3.12,9.0,5,low quality
white wine,0.23,6.8,0.32,3.3,0.026000000000000002,0.4,31.0,99.0,0.9896,3.1,12.4,6,medium quality
white wine,0.58,6.3,0.2,1.4,0.204,0.43,15.0,97.0,0.9931,3.16,10.0,6,medium quality
white wine,0.13,6.6,0.42,12.8,0.044000000000000004,0.47,26.0,158.0,0.99772,3.24,9.0,5,low quality
red wine,0.49,11.9,0.38,2.7,0.098,0.61,12.0,42.0,1.0004,3.16,10.3,5,low quality
white wine,0.32,6.2,0.3,1.7,0.032,0.41,30.0,130.0,0.9911,3.28,11.2,7,medium quality
white wine,0.73,7.0,0.16,1.0,0.138,0.3,58.0,150.0,0.9936,3.08,9.2,5,low quality
white wine,0.4,8.1,0.28,6.9,0.05,0.44,30.0,97.0,0.9951,3.26,10.1,6,medium quality
white wine,0.36,6.2,0.23,17.2,0.039,0.43,37.0,130.0,0.99946,3.23,8.8,6,medium quality
red wine,0.03,5.5,0.49,1.8,0.044000000000000004,0.82,28.0,87.0,0.9908,3.5,14.0,8,high quality
white wine,0.43,7.0,0.53,6.1,0.028999999999999998,0.5,6.0,76.0,0.99118,3.08,12.5,8,high quality
red wine,0.03,7.2,0.66,2.3,0.078,0.57,16.0,86.0,0.9974299999999999,3.53,9.7,5,low quality
red wine,0.07,7.4,0.64,1.8,0.1,0.58,8.0,23.0,0.9961,3.3,9.6,5,low quality
red wine,0.33,7.2,0.66,2.5,0.068,0.78,34.0,102.0,0.9941399999999999,3.27,12.8,6,medium quality
red wine,0.52,11.5,0.41,3.0,0.08,0.88,29.0,55.0,1.0001,3.26,11.0,5,low quality
red wine,0.09,6.8,0.68,3.9,0.068,0.52,15.0,29.0,0.99524,3.41,11.1,4,low quality
white wine,0.38,8.4,0.2,11.8,0.055,0.82,51.0,170.0,1.0004,3.34,8.9,6,medium quality
white wine,0.22,7.3,0.34,1.4,0.044000000000000004,0.46,43.0,176.0,0.9928600000000001,3.14,9.9,5,low quality
white wine,0.42,7.6,0.27,2.6,0.044000000000000004,0.51,29.0,110.0,0.9912,3.31,12.7,6,medium quality
white wine,0.42,6.8,0.31,6.9,0.046,0.46,50.0,173.0,0.9958,3.19,9.0,5,low quality
white wine,0.28,6.4,0.33,4.0,0.04,0.64,24.0,81.0,0.9903,3.26,12.6,7,medium quality
red wine,0.32,7.2,0.37,2.0,0.062,0.73,15.0,28.0,0.9947,3.23,11.3,7,medium quality
white wine,0.53,6.8,0.35,10.1,0.053,0.4,37.0,151.0,0.9963,3.07,9.4,5,low quality
white wine,0.34,6.8,0.25,4.7,0.031,0.38,34.0,134.0,0.9927,3.21,10.6,6,medium quality
white wine,0.31,6.8,0.33,7.4,0.045,0.55,34.0,143.0,0.99226,3.06,12.2,6,medium quality
white wine,0.38,8.1,0.24,4.3,0.044000000000000004,0.74,49.0,172.0,0.996,3.37,10.8,6,medium quality
red wine,0.21,7.3,0.38,2.0,0.08,0.47,7.0,35.0,0.9961,3.33,9.5,5,low quality
white wine,0.36,7.3,0.17,8.2,0.027999999999999997,0.41,44.0,111.0,0.99272,3.14,12.4,6,medium quality
white wine,0.49,7.2,0.22,1.0,0.045,0.34,34.0,140.0,0.99,3.05,12.7,6,medium quality
red wine,0.01,6.9,0.58,1.9,0.08,0.73,40.0,54.0,0.9968299999999999,3.4,9.7,5,low quality
red wine,0.49,7.9,0.29,2.2,0.096,0.67,21.0,59.0,0.9971399999999999,3.31,10.1,6,medium quality
white wine,0.31,8.5,0.17,1.0,0.024,0.37,13.0,91.0,0.993,2.79,10.1,5,low quality
red wine,0.57,9.3,0.32,2.0,0.07400000000000001,0.79,27.0,65.0,0.9969,3.28,10.7,5,low quality
red wine,0.6,8.4,0.65,2.1,0.11199999999999999,0.52,12.0,90.0,0.9973,3.2,9.2,5,low quality
white wine,0.13,6.9,0.32,7.8,0.042,0.37,11.0,117.0,0.996,3.23,9.2,5,low quality
white wine,0.44,7.2,0.26,7.1,0.027000000000000003,0.34,25.0,126.0,0.993,3.02,11.1,8,high quality
white wine,0.49,7.6,0.52,14.0,0.034,0.38,37.0,156.0,0.9958,3.14,11.8,7,medium quality
white wine,0.29,6.8,0.27,4.6,0.046,0.48,6.0,88.0,0.9945799999999999,3.34,10.6,4,low quality
white wine,0.23,6.6,0.22,17.3,0.047,0.46,37.0,118.0,0.9990600000000001,3.08,8.8,6,medium quality
white wine,0.31,7.3,0.205,1.7,0.06,0.69,34.0,110.0,0.9963,3.72,10.5,6,medium quality
red wine,0.19,7.4,0.55,1.8,0.08199999999999999,0.68,15.0,34.0,0.99655,3.49,10.5,5,low quality
white wine,0.28,6.4,0.14,7.9,0.057,0.36,21.0,82.0,0.99425,3.26,10.0,6,medium quality
white wine,0.48,6.4,0.225,2.2,0.115,0.58,29.0,104.0,0.9918,3.24,12.1,6,medium quality
white wine,0.25,6.0,0.22,11.1,0.055999999999999994,0.36,112.0,177.0,0.9961,3.08,9.4,6,medium quality
white wine,0.29,6.2,0.35,3.9,0.040999999999999995,0.59,22.0,79.0,0.99005,3.1,12.066666666666698,6,medium quality
white wine,0.41,7.3,0.23,14.6,0.048,0.71,73.0,223.0,0.9986299999999999,3.16,9.4,6,medium quality
red wine,0.24,7.6,0.51,2.4,0.091,0.66,8.0,38.0,0.998,3.47,9.6,6,medium quality
white wine,0.49,6.7,0.26,8.1,0.052000000000000005,0.48,48.0,197.0,0.9955799999999999,3.19,9.5,5,low quality
white wine,0.34,7.8,0.25,13.7,0.044000000000000004,0.75,66.0,184.0,0.99976,3.22,8.9,5,low quality
white wine,0.32,6.2,0.27,6.3,0.048,0.6,47.0,159.0,0.99282,3.21,11.0,6,medium quality
red wine,0.76,15.6,0.685,3.7,0.1,0.68,6.0,43.0,1.0032,2.95,11.2,7,medium quality
white wine,0.25,6.2,0.35,18.4,0.051,0.62,28.0,182.0,0.99946,3.13,9.3,6,medium quality
white wine,0.29,6.3,0.21,11.7,0.048,0.38,49.0,147.0,0.99482,3.22,10.8,5,low quality
white wine,0.43,7.7,0.25,4.5,0.062,0.5,20.0,115.0,0.9966,3.38,9.9,6,medium quality
white wine,0.49,6.3,0.26,1.5,0.052000000000000005,0.61,34.0,134.0,0.9924,2.99,9.8,6,medium quality
white wine,0.27,7.9,0.3,8.5,0.036000000000000004,0.46,20.0,112.0,0.9939,2.96,11.7,6,medium quality
white wine,0.35,7.6,0.21,1.2,0.040999999999999995,0.45,7.0,106.0,0.9914,3.06,11.3,4,low quality
white wine,0.39,6.9,0.24,1.3,0.063,0.48,18.0,136.0,0.9928,3.31,10.4,7,medium quality
red wine,0.3,9.1,0.5,1.9,0.065,0.71,8.0,17.0,0.99774,3.32,10.5,6,medium quality
white wine,0.35,6.6,0.17,2.6,0.03,0.72,33.0,78.0,0.99146,3.22,11.3,6,medium quality
white wine,0.31,6.4,0.14,1.2,0.034,0.35,53.0,138.0,0.9908399999999999,3.38,11.5,7,medium quality
white wine,0.5,6.0,0.26,2.2,0.048,0.61,59.0,153.0,0.9928,3.08,9.8,5,low quality
red wine,0.19,7.8,0.56,1.8,0.10400000000000001,0.93,12.0,47.0,0.9964,3.19,9.5,5,low quality
white wine,0.36,8.4,0.36,11.1,0.032,0.39,21.0,132.0,0.99313,2.95,13.0,6,medium quality
white wine,0.54,7.3,0.28,12.9,0.049,0.45,62.0,162.5,0.9984,3.06,9.1,6,medium quality
white wine,0.35,8.3,0.2,0.9,0.05,0.38,12.0,74.0,0.992,3.13,10.5,6,medium quality
red wine,0.04,6.6,0.88,2.2,0.066,0.56,12.0,20.0,0.99636,3.53,9.9,5,low quality
red wine,0.32,7.3,0.69,2.2,0.069,0.51,35.0,104.0,0.9963200000000001,3.33,9.5,5,low quality
white wine,0.45,7.9,0.14,1.8,0.05,0.49,17.0,114.0,0.9948,3.33,10.7,7,medium quality
white wine,0.3,6.9,0.18,2.0,0.038,0.37,39.0,190.0,0.9914,3.32,12.2,6,medium quality
white wine,0.27,6.8,0.11,8.6,0.044000000000000004,0.37,45.0,104.0,0.99454,3.2,9.9,6,medium quality
white wine,0.34,6.6,0.22,11.6,0.05,0.4,59.0,140.0,0.99526,3.22,10.8,5,low quality
red wine,0.0,8.1,0.73,2.5,0.081,0.46,12.0,24.0,0.99798,3.38,9.6,4,low quality
white wine,0.24,5.8,0.25,13.3,0.044000000000000004,0.42,41.0,137.0,0.9972,3.34,9.5,5,low quality
